Filename;CT;T
hl 2017-06-14 17-49-15-48.png;0;0
hl 2017-06-14 17-49-16-48.png;0;0
hl 2017-06-14 17-49-17-48.png;0;0
hl 2017-06-14 17-49-18-48.png;0;0
hl 2017-06-14 17-49-19-48.png;0;0
hl 2017-06-14 17-49-20-48.png;0;0
hl 2017-06-14 17-49-21-48.png;0;0
hl 2017-06-14 17-49-22-49.png;0;0
hl 2017-06-14 17-49-23-49.png;0;0
hl 2017-06-14 17-49-24-49.png;0;0
hl 2017-06-14 17-49-25-50.png;0;0
hl 2017-06-14 17-49-26-49.png;0;0
hl 2017-06-14 17-49-27-49.png;0;0
hl 2017-06-14 17-49-28-49.png;0;0
hl 2017-06-14 17-49-29-48.png;0;0
hl 2017-06-14 17-49-30-49.png;0;0
hl 2017-06-14 17-49-31-49.png;0;0
hl 2017-06-14 17-49-32-49.png;0;0
hl 2017-06-14 17-49-33-49.png;0;0
hl 2017-06-14 17-49-34-49.png;1;0
hl 2017-06-14 17-49-35-49.png;1;0
hl 2017-06-14 17-49-36-49.png;1;0
hl 2017-06-14 17-49-37-49.png;1;0
hl 2017-06-14 17-49-38-49.png;1;0
hl 2017-06-14 17-49-39-49.png;1;0
hl 2017-06-14 17-49-40-49.png;1;0
hl 2017-06-14 17-49-41-49.png;1;0
hl 2017-06-14 17-49-42-49.png;1;0
hl 2017-06-14 17-49-43-49.png;1;0
hl 2017-06-14 17-49-44-49.png;1;0
hl 2017-06-14 17-49-45-49.png;1;0
hl 2017-06-14 17-49-46-49.png;1;0
hl 2017-06-14 17-49-47-49.png;0;0
hl 2017-06-14 17-49-48-49.png;1;0
hl 2017-06-14 17-49-49-49.png;0;0
hl 2017-06-14 17-49-50-49.png;1;0
hl 2017-06-14 17-49-51-49.png;0;0
hl 2017-06-14 17-49-52-49.png;0;1
hl 2017-06-14 17-49-53-49.png;1;0
hl 2017-06-14 17-49-54-49.png;0;0
hl 2017-06-14 17-49-55-51.png;0;0
hl 2017-06-14 17-49-56-49.png;0;0
hl 2017-06-14 17-49-57-49.png;0;0
hl 2017-06-14 17-49-58-49.png;0;0
hl 2017-06-14 17-49-59-49.png;0;0
hl 2017-06-14 17-50-00-49.png;0;0
hl 2017-06-14 17-50-01-49.png;0;0
hl 2017-06-14 17-50-02-49.png;0;0
hl 2017-06-14 17-50-03-49.png;0;0
hl 2017-06-14 17-50-04-49.png;0;0
hl 2017-06-14 17-50-05-49.png;0;0
hl 2017-06-14 17-50-06-49.png;1;0
hl 2017-06-14 17-50-07-49.png;1;0
hl 2017-06-14 17-50-08-49.png;1;0
hl 2017-06-14 17-50-09-49.png;1;0
hl 2017-06-14 17-50-10-49.png;0;0
hl 2017-06-14 17-50-11-49.png;0;0
hl 2017-06-14 17-50-12-49.png;0;0
hl 2017-06-14 17-50-13-49.png;0;0
hl 2017-06-14 17-50-14-49.png;0;0
hl 2017-06-14 17-50-15-49.png;0;0
hl 2017-06-14 17-50-16-49.png;1;0
hl 2017-06-14 17-50-17-49.png;1;0
hl 2017-06-14 17-50-18-49.png;1;0
hl 2017-06-14 17-50-19-49.png;1;0
hl 2017-06-14 17-50-20-49.png;0;0
hl 2017-06-14 17-50-21-49.png;1;0
hl 2017-06-14 17-50-22-49.png;1;0
hl 2017-06-14 17-50-23-47.png;1;0
hl 2017-06-14 17-50-24-47.png;1;0
hl 2017-06-14 17-50-25-49.png;1;0
hl 2017-06-14 17-50-26-49.png;0;0
hl 2017-06-14 17-50-27-49.png;0;0
hl 2017-06-14 17-50-28-49.png;0;0
hl 2017-06-14 17-50-29-49.png;0;0
hl 2017-06-14 17-50-30-49.png;0;1
hl 2017-06-14 17-50-31-49.png;0;1
hl 2017-06-14 17-50-32-49.png;0;1
hl 2017-06-14 17-50-33-49.png;0;1
hl 2017-06-14 17-50-34-49.png;0;1
hl 2017-06-14 17-50-35-49.png;0;1
hl 2017-06-14 17-50-36-49.png;0;1
hl 2017-06-14 17-50-37-49.png;0;0
hl 2017-06-14 17-50-38-49.png;0;1
hl 2017-06-14 17-50-39-49.png;0;0
hl 2017-06-14 17-50-40-49.png;0;1
hl 2017-06-14 17-50-42-49.png;0;0
hl 2017-06-14 17-50-43-49.png;0;0
hl 2017-06-14 17-50-44-49.png;0;0
hl 2017-06-14 17-50-45-49.png;0;0
hl 2017-06-14 17-50-46-49.png;0;0
hl 2017-06-14 17-50-47-49.png;0;0
hl 2017-06-14 17-50-48-49.png;0;0
hl 2017-06-14 17-50-49-49.png;0;0
hl 2017-06-14 17-50-50-49.png;0;0
hl 2017-06-14 17-50-51-49.png;0;0
hl 2017-06-14 17-50-52-49.png;0;0
hl 2017-06-14 17-50-53-49.png;0;0
hl 2017-06-14 17-50-54-49.png;0;0
hl 2017-06-14 17-50-55-47.png;0;0
hl 2017-06-14 17-50-56-47.png;0;1
hl 2017-06-14 17-50-57-49.png;0;0
hl 2017-06-14 17-50-58-49.png;1;1
hl 2017-06-14 17-50-59-49.png;1;1
hl 2017-06-14 17-51-00-47.png;1;1
hl 2017-06-14 17-51-01-47.png;0;1
hl 2017-06-14 17-51-02-47.png;0;0
hl 2017-06-14 17-51-03-47.png;0;0
hl 2017-06-14 17-51-04-47.png;0;0
hl 2017-06-14 17-51-05-47.png;0;1
hl 2017-06-14 17-51-06-47.png;0;1
hl 2017-06-14 17-51-07-47.png;0;1
hl 2017-06-14 17-51-08-47.png;0;1
hl 2017-06-14 17-51-09-47.png;0;0
hl 2017-06-14 17-51-10-47.png;0;0
hl 2017-06-14 17-51-11-47.png;0;0
hl 2017-06-14 17-51-12-47.png;0;0
hl 2017-06-14 17-51-13-47.png;0;0
hl 2017-06-14 17-51-14-47.png;0;0
hl 2017-06-14 17-51-15-49.png;0;0
hl 2017-06-14 17-51-16-49.png;0;0
hl 2017-06-14 17-51-17-47.png;0;0
hl 2017-06-14 17-51-18-47.png;0;0
hl 2017-06-14 17-51-19-47.png;0;0
hl 2017-06-14 17-51-20-47.png;0;0
hl 2017-06-14 17-51-21-49.png;0;0
hl 2017-06-14 17-51-22-47.png;0;0
hl 2017-06-14 17-51-23-47.png;0;0
hl 2017-06-14 17-51-24-47.png;0;0
hl 2017-06-14 17-51-25-47.png;0;0
hl 2017-06-14 17-51-26-47.png;0;0
hl 2017-06-14 17-51-27-47.png;0;0
hl 2017-06-14 17-51-28-47.png;0;0
hl 2017-06-14 17-51-29-47.png;0;0
hl 2017-06-14 17-51-30-47.png;0;0
hl 2017-06-14 17-51-31-47.png;0;0
hl 2017-06-14 17-51-32-47.png;1;1
hl 2017-06-14 17-51-33-47.png;1;1
hl 2017-06-14 17-51-34-47.png;0;1
hl 2017-06-14 17-51-35-47.png;0;1
hl 2017-06-14 17-51-36-47.png;0;0
hl 2017-06-14 17-51-37-47.png;0;0
hl 2017-06-14 17-51-38-49.png;0;0
hl 2017-06-14 17-51-39-47.png;0;0
hl 2017-06-14 17-51-40-47.png;0;0
hl 2017-06-14 17-51-41-47.png;0;0
hl 2017-06-14 17-51-42-47.png;0;0
hl 2017-06-14 17-51-43-47.png;0;0
hl 2017-06-14 17-51-44-47.png;0;0
hl 2017-06-14 17-51-45-47.png;0;0
hl 2017-06-14 17-51-46-47.png;0;0
hl 2017-06-14 17-51-47-47.png;1;0
hl 2017-06-14 17-51-48-47.png;1;0
hl 2017-06-14 17-51-49-47.png;1;0
hl 2017-06-14 17-51-50-47.png;1;0
hl 2017-06-14 17-51-51-47.png;1;0
hl 2017-06-14 17-51-52-47.png;1;0
hl 2017-06-14 17-51-53-47.png;1;0
hl 2017-06-14 17-51-54-47.png;1;0
hl 2017-06-14 17-51-55-47.png;1;0
hl 2017-06-14 17-51-56-47.png;1;0
hl 2017-06-14 17-51-57-47.png;0;0
hl 2017-06-14 17-51-58-47.png;0;0
hl 2017-06-14 17-51-59-47.png;0;0
hl 2017-06-14 17-52-00-47.png;0;0
hl 2017-06-14 17-52-01-47.png;0;0
hl 2017-06-14 17-52-02-47.png;0;0
hl 2017-06-14 17-52-03-47.png;0;0
hl 2017-06-14 17-52-04-47.png;0;0
hl 2017-06-14 17-52-05-47.png;0;0
hl 2017-06-14 17-52-06-47.png;0;0
hl 2017-06-14 17-52-07-47.png;1;0
hl 2017-06-14 17-52-08-47.png;1;0
hl 2017-06-14 17-52-09-47.png;1;0
hl 2017-06-14 17-52-10-47.png;1;0
hl 2017-06-14 17-52-11-47.png;1;0
hl 2017-06-14 17-52-12-47.png;1;0
hl 2017-06-14 17-52-21-47.png;0;0
hl 2017-06-14 17-52-22-47.png;0;0
hl 2017-06-14 17-52-23-47.png;0;0
hl 2017-06-14 17-52-24-47.png;0;0
hl 2017-06-14 17-52-25-47.png;0;0
hl 2017-06-14 17-52-34-47.png;0;1
hl 2017-06-14 17-52-35-47.png;0;1
hl 2017-06-14 17-52-36-48.png;0;1
hl 2017-06-14 17-52-37-47.png;0;1
hl 2017-06-14 17-52-38-47.png;0;1
hl 2017-06-14 17-52-39-47.png;0;1
hl 2017-06-14 17-52-40-47.png;0;1
hl 2017-06-14 17-52-41-47.png;0;1
hl 2017-06-14 17-52-42-47.png;0;1
hl 2017-06-14 17-52-43-47.png;0;1
hl 2017-06-14 17-52-44-47.png;0;0
hl 2017-06-14 17-52-45-47.png;0;0
hl 2017-06-14 17-52-46-47.png;0;0
hl 2017-06-14 17-52-47-47.png;0;0
hl 2017-06-14 17-52-48-47.png;0;1
hl 2017-06-14 17-52-49-47.png;0;1
hl 2017-06-14 17-52-50-48.png;0;1
hl 2017-06-14 17-52-51-48.png;1;1
hl 2017-06-14 17-52-52-48.png;1;1
hl 2017-06-14 17-52-53-48.png;1;1
hl 2017-06-14 17-52-54-48.png;0;0
hl 2017-06-14 17-52-55-48.png;1;1
hl 2017-06-14 17-52-56-48.png;1;0
