Filename;CT;T
hl 2017-06-14 17-57-51-49.png;1;0
hl 2017-06-14 17-57-52-48.png;0;0
hl 2017-06-14 17-57-53-48.png;0;0
hl 2017-06-14 17-57-54-48.png;0;0
hl 2017-06-14 17-57-58-48.png;0;0
hl 2017-06-14 17-57-59-48.png;0;0
hl 2017-06-14 17-58-00-48.png;1;0
hl 2017-06-14 17-58-01-49.png;1;0
hl 2017-06-14 17-58-02-48.png;0;0
hl 2017-06-14 17-58-03-48.png;0;0
hl 2017-06-14 17-58-04-48.png;0;0
hl 2017-06-14 17-58-05-48.png;0;0
hl 2017-06-14 17-58-06-49.png;0;0
hl 2017-06-14 17-58-07-49.png;0;0
hl 2017-06-14 17-58-08-49.png;0;0
hl 2017-06-14 17-58-09-49.png;1;0
hl 2017-06-14 17-58-10-49.png;1;0
hl 2017-06-14 17-58-11-49.png;0;1
hl 2017-06-14 17-58-12-49.png;1;1
hl 2017-06-14 17-58-13-49.png;1;1
hl 2017-06-14 17-58-14-49.png;1;1
hl 2017-06-14 17-58-15-49.png;1;1
hl 2017-06-14 17-58-16-49.png;1;1
hl 2017-06-14 17-58-17-49.png;1;1
hl 2017-06-14 17-58-18-49.png;1;1
hl 2017-06-14 17-58-19-49.png;1;1
hl 2017-06-14 17-58-20-49.png;0;1
hl 2017-06-14 17-58-21-49.png;0;1
hl 2017-06-14 17-58-22-49.png;0;1
hl 2017-06-14 17-58-23-49.png;0;1
hl 2017-06-14 17-58-24-49.png;1;1
hl 2017-06-14 17-58-25-48.png;0;0
hl 2017-06-14 17-58-26-48.png;0;0
hl 2017-06-14 17-58-27-48.png;0;0
hl 2017-06-14 17-58-28-49.png;1;0
hl 2017-06-14 17-58-29-49.png;1;0
hl 2017-06-14 17-58-30-49.png;0;1
hl 2017-06-14 17-58-31-49.png;0;0
hl 2017-06-14 17-58-32-49.png;0;0
hl 2017-06-14 17-58-33-49.png;0;0
hl 2017-06-14 17-58-34-49.png;0;0
hl 2017-06-14 17-58-35-49.png;1;0
hl 2017-06-14 17-58-36-49.png;1;0
hl 2017-06-14 17-58-37-49.png;0;0
hl 2017-06-14 17-58-40-49.png;0;0
hl 2017-06-14 17-58-41-49.png;1;0
hl 2017-06-14 17-58-42-49.png;0;1
hl 2017-06-14 17-58-44-48.png;0;1
hl 2017-06-14 17-58-45-49.png;0;1
hl 2017-06-14 17-58-46-49.png;0;1
hl 2017-06-14 17-58-47-49.png;0;1
hl 2017-06-14 17-58-48-49.png;0;1
hl 2017-06-14 17-58-49-49.png;0;1
hl 2017-06-14 17-58-50-49.png;0;0
hl 2017-06-14 17-58-51-49.png;0;0
hl 2017-06-14 17-58-52-49.png;0;0
hl 2017-06-14 17-58-53-49.png;0;0
hl 2017-06-14 17-58-54-49.png;0;0
hl 2017-06-14 17-58-55-49.png;0;0
hl 2017-06-14 17-58-56-49.png;0;0
hl 2017-06-14 17-58-57-49.png;0;0
hl 2017-06-14 17-58-58-49.png;0;0
hl 2017-06-14 17-58-59-49.png;1;0
hl 2017-06-14 17-59-00-47.png;1;0
hl 2017-06-14 17-59-01-49.png;1;0
hl 2017-06-14 17-59-02-49.png;1;0
hl 2017-06-14 17-59-03-49.png;0;0
hl 2017-06-14 17-59-04-49.png;1;0
hl 2017-06-14 17-59-05-49.png;0;0
hl 2017-06-14 17-59-06-49.png;0;1
hl 2017-06-14 17-59-07-49.png;0;0
hl 2017-06-14 17-59-08-49.png;0;0
hl 2017-06-14 17-59-09-49.png;0;0
hl 2017-06-14 17-59-10-49.png;0;0
hl 2017-06-14 17-59-11-49.png;0;0
hl 2017-06-14 17-59-12-49.png;0;0
hl 2017-06-14 17-59-13-49.png;0;0
hl 2017-06-14 17-59-14-49.png;0;1
hl 2017-06-14 17-59-15-49.png;0;1
hl 2017-06-14 17-59-16-49.png;0;1
hl 2017-06-14 17-59-17-49.png;1;0
hl 2017-06-14 17-59-18-49.png;1;0
hl 2017-06-14 17-59-19-49.png;1;0
hl 2017-06-14 17-59-20-49.png;1;0
hl 2017-06-14 17-59-21-49.png;1;0
hl 2017-06-14 17-59-22-49.png;1;0
hl 2017-06-14 17-59-23-49.png;1;0
hl 2017-06-14 17-59-24-49.png;1;0
hl 2017-06-14 17-59-25-49.png;1;0
hl 2017-06-14 17-59-26-49.png;1;0
hl 2017-06-14 17-59-27-49.png;1;0
hl 2017-06-14 17-59-28-49.png;1;0
hl 2017-06-14 17-59-29-49.png;1;0
hl 2017-06-14 17-59-30-47.png;1;0
hl 2017-06-14 17-59-31-49.png;1;0
hl 2017-06-14 17-59-32-47.png;0;1
hl 2017-06-14 17-59-33-49.png;0;1
hl 2017-06-14 17-59-34-49.png;1;0
hl 2017-06-14 17-59-35-49.png;0;0
hl 2017-06-14 17-59-36-49.png;1;1
hl 2017-06-14 17-59-37-49.png;1;1
hl 2017-06-14 17-59-38-49.png;1;1
hl 2017-06-14 17-59-39-49.png;0;1
hl 2017-06-14 17-59-40-49.png;0;1
hl 2017-06-14 17-59-41-49.png;0;1
hl 2017-06-14 17-59-42-47.png;0;1
hl 2017-06-14 17-59-43-49.png;0;0
hl 2017-06-14 17-59-48-49.png;0;0
hl 2017-06-14 17-59-49-49.png;0;0
hl 2017-06-14 17-59-50-49.png;0;0
hl 2017-06-14 17-59-51-49.png;0;0
hl 2017-06-14 17-59-52-49.png;0;0
hl 2017-06-14 17-59-53-49.png;0;0
hl 2017-06-14 17-59-54-49.png;0;0
hl 2017-06-14 17-59-55-49.png;0;0
hl 2017-06-14 17-59-56-49.png;0;0
hl 2017-06-14 17-59-57-49.png;0;0
hl 2017-06-14 17-59-58-49.png;0;0
hl 2017-06-14 17-59-59-49.png;0;0
hl 2017-06-14 18-00-00-49.png;0;0
hl 2017-06-14 18-00-01-49.png;0;0
hl 2017-06-14 18-00-02-47.png;0;0
hl 2017-06-14 18-00-03-47.png;0;0
hl 2017-06-14 18-00-04-47.png;0;1
hl 2017-06-14 18-00-05-47.png;0;1
hl 2017-06-14 18-00-06-47.png;1;1
hl 2017-06-14 18-00-07-47.png;0;1
hl 2017-06-14 18-00-08-47.png;0;1
hl 2017-06-14 18-00-09-47.png;0;1
hl 2017-06-14 18-00-10-47.png;0;1
hl 2017-06-14 18-00-11-47.png;0;1
hl 2017-06-14 18-00-12-47.png;1;0
hl 2017-06-14 18-00-13-49.png;0;0
hl 2017-06-14 18-00-14-47.png;0;1
hl 2017-06-14 18-00-15-47.png;0;0
hl 2017-06-14 18-00-16-47.png;0;0
hl 2017-06-14 18-00-17-47.png;0;0
hl 2017-06-14 18-00-18-47.png;0;0
hl 2017-06-14 18-00-19-49.png;0;0
hl 2017-06-14 18-00-20-49.png;0;0
hl 2017-06-14 18-00-21-47.png;0;0
hl 2017-06-14 18-00-22-47.png;0;0
hl 2017-06-14 18-00-23-47.png;0;0
hl 2017-06-14 18-00-24-47.png;1;0
hl 2017-06-14 18-00-25-47.png;1;0
hl 2017-06-14 18-00-26-47.png;0;0
hl 2017-06-14 18-00-27-47.png;0;0
hl 2017-06-14 18-00-28-49.png;0;0
hl 2017-06-14 18-00-29-49.png;0;0
hl 2017-06-14 18-00-30-47.png;0;0
hl 2017-06-14 18-00-31-47.png;0;0
hl 2017-06-14 18-00-32-47.png;1;0
hl 2017-06-14 18-00-33-47.png;1;0
hl 2017-06-14 18-00-34-47.png;1;0
hl 2017-06-14 18-00-35-47.png;0;0
hl 2017-06-14 18-00-36-47.png;0;0
hl 2017-06-14 18-00-37-47.png;0;0
hl 2017-06-14 18-00-38-47.png;0;0
hl 2017-06-14 18-00-39-47.png;1;0
hl 2017-06-14 18-00-40-47.png;1;0
hl 2017-06-14 18-00-41-47.png;0;0
hl 2017-06-14 18-00-42-47.png;0;0
hl 2017-06-14 18-00-43-47.png;0;0
hl 2017-06-14 18-00-44-47.png;0;1
hl 2017-06-14 18-00-45-47.png;0;1
hl 2017-06-14 18-00-46-47.png;0;1
hl 2017-06-14 18-00-49-47.png;0;0
hl 2017-06-14 18-00-50-47.png;0;0
hl 2017-06-14 18-00-51-47.png;0;0
hl 2017-06-14 18-00-52-47.png;0;0
hl 2017-06-14 18-00-53-47.png;0;1
hl 2017-06-14 18-00-54-47.png;0;0
hl 2017-06-14 18-00-55-47.png;0;0
hl 2017-06-14 18-00-56-47.png;0;0
hl 2017-06-14 18-00-57-47.png;0;0
hl 2017-06-14 18-00-58-47.png;0;0
hl 2017-06-14 18-00-59-47.png;0;0
hl 2017-06-14 18-01-00-47.png;0;0
hl 2017-06-14 18-01-01-47.png;0;0
hl 2017-06-14 18-01-02-47.png;1;0
hl 2017-06-14 18-01-03-47.png;1;0
hl 2017-06-14 18-01-04-47.png;1;0
hl 2017-06-14 18-01-05-47.png;1;0
hl 2017-06-14 18-01-06-47.png;1;0
hl 2017-06-14 18-01-07-47.png;0;0
hl 2017-06-14 18-01-08-47.png;0;0
hl 2017-06-14 18-01-09-47.png;0;0
hl 2017-06-14 18-01-10-47.png;0;0
hl 2017-06-14 18-01-11-47.png;0;0
hl 2017-06-14 18-01-12-47.png;0;0
hl 2017-06-14 18-01-13-47.png;0;0
hl 2017-06-14 18-01-14-47.png;0;0
hl 2017-06-14 18-01-15-47.png;0;0
hl 2017-06-14 18-01-16-47.png;0;0
hl 2017-06-14 18-01-17-47.png;0;0
hl 2017-06-14 18-01-18-47.png;1;1
hl 2017-06-14 18-01-19-47.png;0;0
hl 2017-06-14 18-01-20-47.png;0;0
hl 2017-06-14 18-01-21-47.png;0;0
hl 2017-06-14 18-01-22-47.png;0;0
hl 2017-06-14 18-01-23-47.png;0;0
hl 2017-06-14 18-01-24-47.png;0;0
hl 2017-06-14 18-01-25-47.png;0;0
hl 2017-06-14 18-01-26-47.png;0;0
hl 2017-06-14 18-01-27-47.png;0;0
hl 2017-06-14 18-01-28-47.png;0;0
hl 2017-06-14 18-01-29-47.png;0;0
hl 2017-06-14 18-01-30-47.png;0;0
hl 2017-06-14 18-01-31-47.png;0;0
hl 2017-06-14 18-01-32-47.png;0;0
hl 2017-06-14 18-01-33-47.png;0;0
hl 2017-06-14 18-01-34-47.png;0;0
hl 2017-06-14 18-01-35-47.png;0;0
hl 2017-06-14 18-01-36-47.png;1;0
hl 2017-06-14 18-01-37-47.png;0;0
hl 2017-06-14 18-01-38-47.png;0;0
hl 2017-06-14 18-01-39-47.png;0;0
hl 2017-06-14 18-01-40-47.png;0;0
hl 2017-06-14 18-01-41-47.png;0;0
hl 2017-06-14 18-01-42-47.png;0;0
hl 2017-06-14 18-01-43-47.png;0;0
hl 2017-06-14 18-01-44-47.png;0;0
hl 2017-06-14 18-01-45-47.png;0;0
hl 2017-06-14 18-01-46-47.png;0;0
hl 2017-06-14 18-01-47-47.png;0;0
hl 2017-06-14 18-01-48-48.png;0;0
