Filename;CT;T
hl 2017-06-14 18-01-49-47.png;;
hl 2017-06-14 18-01-50-47.png;1;
hl 2017-06-14 18-01-51-48.png;1;
hl 2017-06-14 18-01-52-48.png;1;
hl 2017-06-14 18-01-53-48.png;1;
hl 2017-06-14 18-01-54-48.png;1;
hl 2017-06-14 18-01-55-48.png;1;
hl 2017-06-14 18-01-56-48.png;;
hl 2017-06-14 18-01-57-47.png;;
hl 2017-06-14 18-01-58-47.png;;
hl 2017-06-14 18-01-59-47.png;;
hl 2017-06-14 18-02-00-48.png;;
hl 2017-06-14 18-02-01-47.png;;
hl 2017-06-14 18-02-02-48.png;;
hl 2017-06-14 18-02-03-47.png;;
hl 2017-06-14 18-02-04-48.png;;
hl 2017-06-14 18-02-05-48.png;;
hl 2017-06-14 18-02-06-48.png;;
hl 2017-06-14 18-02-07-48.png;;
hl 2017-06-14 18-02-08-48.png;;1
hl 2017-06-14 18-02-09-48.png;;1
hl 2017-06-14 18-02-10-47.png;;
hl 2017-06-14 18-02-11-48.png;;1
hl 2017-06-14 18-02-12-48.png;1;1
hl 2017-06-14 18-02-13-48.png;1;
hl 2017-06-14 18-02-14-48.png;;
hl 2017-06-14 18-02-15-48.png;;
hl 2017-06-14 18-02-16-47.png;;
hl 2017-06-14 18-02-17-47.png;;
hl 2017-06-14 18-02-18-47.png;;
hl 2017-06-14 18-02-19-47.png;;
hl 2017-06-14 18-02-20-47.png;;
hl 2017-06-14 18-02-21-48.png;;
hl 2017-06-14 18-02-22-48.png;;
hl 2017-06-14 18-02-23-47.png;;
hl 2017-06-14 18-02-27-47.png;;
hl 2017-06-14 18-02-28-48.png;;1
hl 2017-06-14 18-02-29-48.png;;
hl 2017-06-14 18-02-30-48.png;;
hl 2017-06-14 18-02-31-48.png;;
hl 2017-06-14 18-02-32-48.png;;
hl 2017-06-14 18-02-33-48.png;;
hl 2017-06-14 18-02-34-48.png;;
hl 2017-06-14 18-02-35-48.png;;
hl 2017-06-14 18-02-36-48.png;;
hl 2017-06-14 18-02-37-48.png;;
hl 2017-06-14 18-02-38-48.png;;
hl 2017-06-14 18-02-39-48.png;;
hl 2017-06-14 18-02-40-48.png;;
hl 2017-06-14 18-02-41-48.png;;
hl 2017-06-14 18-02-42-48.png;;
hl 2017-06-14 18-02-43-48.png;1;
hl 2017-06-14 18-02-44-48.png;1;
hl 2017-06-14 18-02-45-48.png;1;
hl 2017-06-14 18-02-46-48.png;1;
hl 2017-06-14 18-02-47-48.png;;
hl 2017-06-14 18-02-48-48.png;;
hl 2017-06-14 18-02-49-48.png;;
hl 2017-06-14 18-02-50-48.png;;
hl 2017-06-14 18-02-51-48.png;;
hl 2017-06-14 18-02-52-48.png;;
hl 2017-06-14 18-02-53-48.png;;
hl 2017-06-14 18-02-54-48.png;1;
hl 2017-06-14 18-02-55-48.png;1;
hl 2017-06-14 18-02-56-48.png;;
hl 2017-06-14 18-02-57-48.png;;
hl 2017-06-14 18-02-58-48.png;;
hl 2017-06-14 18-02-59-48.png;;
hl 2017-06-14 18-03-00-48.png;1;
hl 2017-06-14 18-03-01-48.png;1;
hl 2017-06-14 18-03-02-48.png;1;
hl 2017-06-14 18-03-03-48.png;1;
hl 2017-06-14 18-03-04-48.png;1;
hl 2017-06-14 18-03-05-48.png;1;
hl 2017-06-14 18-03-06-48.png;;
hl 2017-06-14 18-03-07-48.png;;
hl 2017-06-14 18-03-08-48.png;;
hl 2017-06-14 18-03-09-48.png;;
hl 2017-06-14 18-03-10-48.png;1;1
hl 2017-06-14 18-03-14-48.png;;
hl 2017-06-14 18-03-15-48.png;;1
hl 2017-06-14 18-03-16-48.png;;
hl 2017-06-14 18-03-17-48.png;;
hl 2017-06-14 18-03-18-48.png;;
hl 2017-06-14 18-03-19-48.png;;
hl 2017-06-14 18-03-20-48.png;;
hl 2017-06-14 18-03-21-48.png;;
hl 2017-06-14 18-03-22-48.png;;
hl 2017-06-14 18-03-23-48.png;;
hl 2017-06-14 18-03-24-48.png;;
