Filename;CT;T;P
hl 2017-06-14 17-53-22-48.png;;;0
hl 2017-06-14 17-53-23-48.png;;;0
hl 2017-06-14 17-53-24-48.png;;;0
hl 2017-06-14 17-53-25-48.png;;;0
hl 2017-06-14 17-53-26-48.png;;;0
hl 2017-06-14 17-53-27-48.png;;;0
hl 2017-06-14 17-53-28-48.png;;;0
hl 2017-06-14 17-53-29-48.png;;;0
hl 2017-06-14 17-53-30-48.png;;;0
hl 2017-06-14 17-53-31-48.png;;;0
hl 2017-06-14 17-53-32-48.png;;;0
hl 2017-06-14 17-53-33-48.png;;;0
hl 2017-06-14 17-53-34-48.png;;;0
hl 2017-06-14 17-53-35-48.png;;;0
hl 2017-06-14 17-53-36-48.png;;;1
hl 2017-06-14 17-53-37-48.png;;;1
hl 2017-06-14 17-53-38-48.png;;;1
hl 2017-06-14 17-53-39-48.png;;;1
hl 2017-06-14 17-53-40-48.png;;;1
hl 2017-06-14 17-53-41-48.png;;;1
hl 2017-06-14 17-53-42-48.png;;;1
hl 2017-06-14 17-53-43-48.png;;;0
hl 2017-06-14 17-53-44-48.png;;;0
hl 2017-06-14 17-53-45-48.png;;;0
hl 2017-06-14 17-53-46-48.png;;;0
hl 2017-06-14 17-53-47-48.png;;;0
hl 2017-06-14 17-53-48-48.png;;;0
hl 2017-06-14 17-53-49-48.png;;;0
hl 2017-06-14 17-53-50-48.png;;;0
hl 2017-06-14 17-53-51-48.png;;;0
hl 2017-06-14 17-53-53-48.png;;;0
hl 2017-06-14 17-53-54-48.png;;;0
hl 2017-06-14 17-53-55-48.png;;;0
hl 2017-06-14 17-53-56-48.png;;;0
hl 2017-06-14 17-53-57-48.png;;;0
hl 2017-06-14 17-53-58-48.png;;;0
hl 2017-06-14 17-53-59-48.png;;;0
hl 2017-06-14 17-54-00-48.png;;;0
hl 2017-06-14 17-54-01-48.png;;;0
hl 2017-06-14 17-54-02-48.png;;;0
hl 2017-06-14 17-54-03-48.png;;;0
hl 2017-06-14 17-54-04-48.png;;;0
hl 2017-06-14 17-54-05-48.png;;;0
hl 2017-06-14 17-54-06-48.png;;;0
hl 2017-06-14 17-54-07-48.png;;;0
hl 2017-06-14 17-54-08-48.png;;;0
hl 2017-06-14 17-54-09-48.png;;;0
hl 2017-06-14 17-54-10-48.png;;;0
hl 2017-06-14 17-54-11-48.png;;;0
hl 2017-06-14 17-54-12-48.png;;;0
hl 2017-06-14 17-54-13-48.png;;;0
hl 2017-06-14 17-54-14-48.png;;;0
hl 2017-06-14 17-54-15-48.png;;;0
hl 2017-06-14 17-54-16-48.png;;;0
hl 2017-06-14 17-54-17-48.png;;;0
hl 2017-06-14 17-54-18-48.png;;;0
hl 2017-06-14 17-54-19-48.png;;;0
hl 2017-06-14 17-54-20-48.png;;;0
hl 2017-06-14 17-54-21-48.png;;;0
hl 2017-06-14 17-54-22-48.png;;;0
hl 2017-06-14 17-54-23-48.png;;;1
hl 2017-06-14 17-54-24-48.png;;;0
hl 2017-06-14 17-54-25-48.png;;;0
hl 2017-06-14 17-54-26-48.png;;;0
hl 2017-06-14 17-54-27-48.png;;;0
hl 2017-06-14 17-54-28-48.png;;;0
hl 2017-06-14 17-54-29-48.png;;;0
hl 2017-06-14 17-54-30-48.png;;;1
hl 2017-06-14 17-54-31-48.png;;;0
hl 2017-06-14 17-55-01-48.png;;;0
hl 2017-06-14 17-55-05-48.png;;;0
hl 2017-06-14 17-55-07-48.png;;;0
hl 2017-06-14 17-55-08-48.png;;;0
hl 2017-06-14 17-55-09-48.png;;;0
hl 2017-06-14 17-55-10-48.png;;;0
hl 2017-06-14 17-55-11-48.png;;;0
hl 2017-06-14 17-55-12-48.png;;;0
hl 2017-06-14 17-55-13-48.png;;;0
hl 2017-06-14 17-55-14-48.png;;;0
hl 2017-06-14 17-55-15-48.png;;;0
hl 2017-06-14 17-55-16-48.png;;;0
hl 2017-06-14 17-55-17-48.png;;;0
hl 2017-06-14 17-55-18-48.png;;;0
hl 2017-06-14 17-55-19-48.png;;;0
hl 2017-06-14 17-55-20-48.png;;;0
hl 2017-06-14 17-55-21-48.png;;;0
hl 2017-06-14 17-55-22-48.png;;;0
hl 2017-06-14 17-55-23-48.png;;;1
hl 2017-06-14 17-55-24-48.png;;;1
hl 2017-06-14 17-55-25-48.png;;;1
hl 2017-06-14 17-55-26-48.png;;;1
hl 2017-06-14 17-55-27-48.png;;;0
hl 2017-06-14 17-55-28-48.png;;;0
hl 2017-06-14 17-55-29-48.png;;;0
hl 2017-06-14 17-55-30-48.png;;;0
hl 2017-06-14 17-55-31-48.png;;;0
hl 2017-06-14 17-55-32-48.png;;;0
hl 2017-06-14 17-55-33-48.png;;;0
hl 2017-06-14 17-55-34-48.png;;;0
hl 2017-06-14 17-55-35-48.png;;;0
hl 2017-06-14 17-55-36-48.png;;;0
hl 2017-06-14 17-55-37-48.png;;;0
hl 2017-06-14 17-55-38-48.png;;;0
hl 2017-06-14 17-55-39-48.png;;;0
hl 2017-06-14 17-55-40-48.png;;;0
hl 2017-06-14 17-55-41-48.png;;;0
hl 2017-06-14 17-55-42-48.png;;;0
hl 2017-06-14 17-55-43-48.png;;;0
hl 2017-06-14 17-55-44-48.png;;;0
hl 2017-06-14 17-55-45-48.png;;;0
hl 2017-06-14 17-55-46-48.png;;;0
hl 2017-06-14 17-55-47-48.png;;;0
hl 2017-06-14 17-55-48-48.png;;;0
hl 2017-06-14 17-55-49-48.png;;;0
hl 2017-06-14 17-55-50-48.png;;;0
hl 2017-06-14 17-55-51-48.png;;;0
hl 2017-06-14 17-55-52-48.png;;;1
hl 2017-06-14 17-55-53-48.png;;;1
