Filename;CT;T
hl 2017-06-18 23-11-54-58.png;1;0
hl 2017-06-18 23-11-55-58.png;1;0
hl 2017-06-18 23-11-56-58.png;1;0
hl 2017-06-18 23-11-57-58.png;1;0
hl 2017-06-18 23-11-58-58.png;1;0
hl 2017-06-18 23-12-01-57.png;0;0
hl 2017-06-18 23-12-02-58.png;1;0
hl 2017-06-18 23-12-03-58.png;1;0
hl 2017-06-18 23-12-04-58.png;1;1
hl 2017-06-18 23-12-05-58.png;0;1
hl 2017-06-18 23-12-06-58.png;0;1
hl 2017-06-18 23-12-07-58.png;0;1
hl 2017-06-18 23-12-08-58.png;0;1
hl 2017-06-18 23-12-09-58.png;1;1
hl 2017-06-18 23-12-10-58.png;1;1
hl 2017-06-18 23-12-11-58.png;1;0
hl 2017-06-18 23-12-12-58.png;0;1
hl 2017-06-18 23-12-13-58.png;0;1
hl 2017-06-18 23-12-14-58.png;0;1
hl 2017-06-18 23-12-15-58.png;0;1
hl 2017-06-18 23-12-16-58.png;0;0
hl 2017-06-18 23-12-17-58.png;0;0
hl 2017-06-18 23-12-18-58.png;0;0
hl 2017-06-18 23-12-19-58.png;0;0
hl 2017-06-18 23-12-20-58.png;0;1
hl 2017-06-18 23-12-21-58.png;0;1
hl 2017-06-18 23-12-22-58.png;0;1
hl 2017-06-18 23-12-23-58.png;0;1
hl 2017-06-18 23-12-24-58.png;0;1
hl 2017-06-18 23-12-25-58.png;0;1
hl 2017-06-18 23-12-38-58.png;0;0
hl 2017-06-18 23-12-44-57.png;1;0
hl 2017-06-18 23-12-45-58.png;0;0
hl 2017-06-18 23-12-46-58.png;0;0
hl 2017-06-18 23-12-47-58.png;0;0
hl 2017-06-18 23-12-48-58.png;0;0
hl 2017-06-18 23-12-49-58.png;0;0
hl 2017-06-18 23-12-50-57.png;0;0
hl 2017-06-18 23-12-51-58.png;0;0
hl 2017-06-18 23-12-52-58.png;0;0
hl 2017-06-18 23-12-53-58.png;0;0
hl 2017-06-18 23-12-54-58.png;0;0
hl 2017-06-18 23-12-55-58.png;0;0
hl 2017-06-18 23-12-56-58.png;0;0
hl 2017-06-18 23-12-57-58.png;0;0
hl 2017-06-18 23-12-58-58.png;0;0
